symbol,option_type,strike_price,expiration_date,last_price_usd,bid_price_usd,ask_price_usd,bid_iv,ask_iv,delta,gamma,theta,vega,open_interest,total traded volume,monetary volume
BTC-2MAR25-65000-C,call,65000.0,2025-03-02,0.0,17646.837499999998,22281.79,0.8,720.6,0.99997,0.0,-0.38094,0.00475,0.0,0.0,0.0
BTC-2MAR25-65000-P,put,65000.0,2025-03-02,8.5045,0.0,8.5045,0.8,237.95,-3e-05,0.0,-0.04124,0.00475,49.7,2.4,37.11
BTC-2MAR25-70000-C,call,70000.0,2025-03-02,0.0,12459.092499999999,17391.7025,0.8,596.29,0.99997,0.0,-0.28853,0.00497,0.0,0.0,0.0
BTC-2MAR25-70000-P,put,70000.0,2025-03-02,8.5045,0.0,8.5045,0.8,177.34,-3e-05,0.0,-0.03128,0.00497,10.8,5.9,105.12
BTC-2MAR25-72000-C,call,72000.0,2025-03-02,0.0,10375.49,15435.6675,0.8,546.71,0.99995,0.0,-0.34354,0.00679,0.0,0.0,0.0
BTC-2MAR25-72000-P,put,72000.0,2025-03-02,8.5045,0.0,8.5045,0.8,153.91,-5e-05,0.0,-0.03853,0.00679,41.2,30.9,403.27
BTC-2MAR25-74000-C,call,74000.0,2025-03-02,0.0,8334.41,13564.6775,0.8,504.86,0.99959,0.0,-2.575,0.05222,0.0,0.0,0.0
BTC-2MAR25-74000-P,put,74000.0,2025-03-02,8.5045,0.0,8.5045,0.8,130.84,-0.00041,0.0,-0.37546,0.05222,20.1,9.1,464.17
BTC-2MAR25-75000-C,call,75000.0,2025-03-02,7016.212500000001,9780.175000000001,10035.31,0.8,164.71,0.99876,0.0,-7.22889,0.1466,1.0,0.0,0.0
BTC-2MAR25-75000-P,put,75000.0,2025-03-02,68.036,0.0,8.5045,0.8,119.41,-0.00124,0.0,-1.2446,0.1466,15.0,0.6,45.59
BTC-2MAR25-76000-C,call,76000.0,2025-03-02,4252.25,6250.8075,11693.687500000002,0.8,461.56,0.99659,0.0,-18.06919,0.36644,0.3,0.0,0.0
BTC-2MAR25-76000-P,put,76000.0,2025-03-02,17.009,0.0,17.009,0.8,117.83,-0.00341,0.0,-3.70896,0.36644,32.1,14.8,408.0
